offer_id,bank_name,account_name,account_type,is_business,bonus_cash_cents,requirements,source_url,offer_url,expiration_date,monthly_fee_cents,fee_waiver_note,eligibility_note,last_verified,apy_percent,timeline_anchor,apy_source_url,apy_as_of,audit_note,opening_deposit_cents,application_channel,deferred_bonus_cents,geography,geography_states,geography_note,keep_open_days,total_capital_cents,monthly_fee_waived,application_requirement,terms_source_url,terms_verified,unresolved_terms,promo_code,chexsystems,chexsystems_source_url,chexsystems_checked,chexsystems_note,funding_note,funding_source_url,funding_verified
"etrade-premium-savings-400","E*TRADE / Morgan Stanley Private Bank","Premium Savings Account - $400 tier","savings","false","40000","Open new PSA September 15 2026 through January 10 2027 using SAVE800. Cash offer ends 11:59 PM ET; separate boosted APY ends 8:45 PM ET: use earlier cutoff for both. Deposit $20000-$99999 net-new external funds within 30 days; maintain average daily balance at least $20000 during days 31-75. Bonus is the lower of deposit and maintenance tiers. Internal bank/affiliate transfers excluded; withdrawals reduce net new funds. Bonus within 30 days after maintenance (by day 105); keep account open and in good standing until paid.","https://us.etrade.com/promo/savings","https://us.etrade.com/promo/savings","2027-01-10","0","No monthly fee or minimum balance. June 2026 PSA fee schedule lists no early-close fee; website $0 early-close row is Max-Rate Checking and is NOT PSA evidence. Optional outgoing wire $25; avoid it. No fixed PSA bonus clawback holding period stated after maintenance; abuse/misuse/gaming can cause rescission.","New personal PSA only; no checking/credit line/IRA/brokerage eligibility. One newly opened funded PSA; one cash-bonus offer at a time; lifetime maximum of two new-PSA cash bonuses. Non-US residents excluded and void where invalid. Tiers are alternatives not additive.","2026-09-16","4","account_opening","https://us.etrade.com/bank/bank-rates","2026-09-15","Current full cash legal recovered from https://us.etrade.com/promo/savings.html; DoC older fine print is superseded. Day0 opening; fund day30; maintain days31-75; principal release day76 is derived from completed maintenance not a bank-guaranteed transfer date. Leave account open/good standing with nominal funds or accrued interest through payout; conservative keep-open day105. Example open 2027-01-10; fund 2027-02-09; maintain 2027-02-10 through 2027-03-26; withdrawal 2027-03-27; payout by 2027-04-25. 46 interest days excludes withdrawal day. Fixed 4.00% promotional APY six months on up to $10M; base 3.50% as checked 2026-09-16. Supplementary 4.00% APY comparison: interest $99.10; opportunity cost $99.10; net $400.00; annualized net ROI 15.87%; Good ROI by >=10% and >=$300. Excludes taxes/optional fees and residual payout balance; conditional on timely cleared funds. Runtime remains gross bonus plus floored interest and >7% gate.","0","online","","nationwide","","","105","2000000","","","","","","","yes","https://www.doctorofcredit.com/etrade-400-savings-bonus-requires-20k-deposit-4-intro-rate/","2026-09-24","ChexSystems:  Yes, but approves if frozen DoC article ChexSystems field, 2026-09-16. DoC field on the current E*Trade $400-$800 Premium Savings bonus post says Chex is pulled but frozen files still get approved; the Feb 2026 $300-$2,000 savings post says the same. Secondary reported screening, not a bank guarantee.","","",""
"etrade-premium-savings-800","E*TRADE / Morgan Stanley Private Bank","Premium Savings Account - $800 tier","savings","false","80000","Open new PSA September 15 2026 through January 10 2027 using SAVE800. Cash offer ends 11:59 PM ET; separate boosted APY ends 8:45 PM ET: use earlier cutoff for both. Deposit at least $100000 net-new external funds within 30 days; maintain average daily balance at least $100000 during days 31-75. Bonus is the lower of deposit and maintenance tiers; $20000-$99999 maintained earns $400 even after $100000 deposit. Internal bank/affiliate transfers excluded; withdrawals reduce net new funds. Bonus within 30 days after maintenance (by day 105); keep account open and in good standing until paid.","https://us.etrade.com/promo/savings","https://us.etrade.com/promo/savings","2027-01-10","0","No monthly fee or minimum balance. June 2026 PSA fee schedule lists no early-close fee; website $0 early-close row is Max-Rate Checking and is NOT PSA evidence. Optional outgoing wire $25; avoid it. No fixed PSA bonus clawback holding period stated after maintenance; abuse/misuse/gaming can cause rescission.","New personal PSA only; no checking/credit line/IRA/brokerage eligibility. One newly opened funded PSA; one cash-bonus offer at a time; lifetime maximum of two new-PSA cash bonuses. Non-US residents excluded and void where invalid. Tiers are alternatives not additive.","2026-09-16","4","account_opening","https://us.etrade.com/bank/bank-rates","2026-09-15","Current full cash legal recovered from https://us.etrade.com/promo/savings.html; DoC older fine print is superseded. Day0 opening; fund day30; maintain days31-75; principal release day76 is derived from completed maintenance not a bank-guaranteed transfer date. Leave account open/good standing with nominal funds or accrued interest through payout; conservative keep-open day105. Example open 2027-01-10; fund 2027-02-09; maintain 2027-02-10 through 2027-03-26; withdrawal 2027-03-27; payout by 2027-04-25. 46 interest days excludes withdrawal day. Fixed 4.00% promotional APY six months on up to $10M; base 3.50% as checked 2026-09-16. Supplementary 4.00% APY comparison: interest $495.51; opportunity cost $495.51; net $800.00; annualized net ROI 6.35%; Good ROI by >=$300 net not >=10%. Excludes taxes/optional fees and residual payout balance; conditional on timely cleared funds. Runtime remains gross bonus plus floored interest and >7% gate.","0","online","","nationwide","","","105","10000000","","","","","","","yes","https://www.doctorofcredit.com/etrade-400-savings-bonus-requires-20k-deposit-4-intro-rate/","2026-09-24","ChexSystems:  Yes, but approves if frozen DoC article ChexSystems field, 2026-09-16. DoC field on the current E*Trade $400-$800 Premium Savings bonus post says Chex is pulled but frozen files still get approved; the Feb 2026 $300-$2,000 savings post says the same. Secondary reported screening, not a bank guarantee.","","",""
"rogue-myrewards-checking-500","Rogue Credit Union","MyRewards Checking Welcome Bonus+","checking","false","50000","Apply through promotional page or in branch/by phone July 20-September 30 2026. For three consecutive statement cycles from opening: qualifying deposits totaling $1000 each month; 10 qualifying transactions each month; paperless statements; no monthly service fee. Qualifying deposits are posted salary/government benefits/other income via ACH direct deposit; RTP or FedNow instant payment; or third-party electronic credit to Visa/Mastercard debit card (including OCT). Transfers from one account to another, mobile deposits, Zelle, and branch/ATM deposits do not qualify. Qualifying transactions separately include Rogue debit/credit card, Zelle, ACH and checks. $500 paid into Ownership Account within 30 calendar days after requirements met; new account must stay open through attempted payout. Separate $100 hospital donation is not customer compensation.","https://www.doctorofcredit.com/or-id-northern-ca-rogue-credit-union-500-checking-bonus-direct-deposit-not-required/","https://www.roguecu.org/personal-services/personal-deposit-accounts/checking/myrewards-checking/welcome-bonus-plus","2026-09-30","1000","$10 monthly service fee waived with $1000 deposited per calendar month; 10 qualifying transactions; paperless statements by 7pm last day of month. Same-tax-owner transfers do not qualify for waiver. First partial month fee grace verified in account FAQ; not a bonus qualification grace. Separate $5/month participation fee after three months unless one option: membership over 10 years; $500 combined average daily deposits; active checking with direct deposit and Online Statements; current loan; paid-off loan after 2018; under 25; or Rogue Investment Services portfolio. Generic qualifying funding does not automatically satisfy the participation DD waiver. No EATF found in schedule; not proof of no closure costs. $5/month inactivity fee after 18 months. $0 modeled fees conditional on all waivers through payout.","Personal primary tax-reported owner only; age 18+. Excludes MyRewards bonus recipients within prior 12 months; employees; W-8 signers/nonresident aliens/foreign entities; business accounts. One bonus per member/account; no other Rogue deposit offer stacking; abuse can reverse bonus. Membership: live/work/worship/attend school in select OR/ID/Northern CA counties; exact address acceptance needs review. DoC reports some Northern CA counties missing online.","2026-09-14","3","account_opening","https://www.roguecu.org/media/yjyb1q41/member_disclosure.pdf?cb=639101088302200000","2026-09-14","Verified campaign; product https://www.roguecu.org/personal-services/personal-deposit-accounts/checking/myrewards-checking; membership https://www.roguecu.org/new-members; fee/APY disclosure effective 2026-09-14. APY 3.00% first $1000; 0% above $1000. No promotional minimum balance/hold stated. Three generic deposit steps preserve ACH/RTP/FedNow/OCT alternatives without falsely requiring payroll DD. Exact cycle boundaries unknown: no invented 30/60/90-day deadlines. Mandated supplementary capital-days model: three $1000 deposits each at 0% for seven days; earliest modeled withdrawal actual deposit + seven days (not a bank promise); keep open through payout. At 4.00% simple comparison and zero fees: 21000 dollar-days; $2.30 opportunity cost; $497.70 net; 865.05% annualized net ROI using unrounded arithmetic. Conditional Good ROI: net over $300 and annualized over 10%. No checking-interest double count; transaction spend/effort excluded; EATF and complete net costs unknown. Runtime generic-funding ROI is only a gross lower bound with unknown duration; it is NOT this capital-days estimate. Gaps: exact address acceptance; transaction amounts; EATF; cycle dates; fee waiver through payout. Donation excluded.","","online","","unknown","","Live/work/worship/school in OR: Benton; Clackamas; Clatsop; Columbia; Coos; Crook; Curry; Deschutes; Douglas; Gilliam; Harney; Hood River; Jackson; Josephine; Jefferson; Klamath; Lake; Lane; Lincoln; Linn; Malheur; Marion; Multnomah; Polk; Sherman; Tillamook; Wasco; Washington; Wheeler; Yamhill. ID: Ada; Boise; Canyon; Gem; Owyhee; Payette; Washington. CA: Butte; Del Norte; Glenn; Humboldt; Lassen; Modoc; Plumas; Shasta; Siskiyou; Tehama; Trinity. Residence alone is not exhaustive; verify membership/address acceptance.","","300000","","APY is 3.00% on the first $1,000 and 0% above $1,000. Exact statement cycle boundaries and address acceptance require confirmation.","","","","","unknown","https://www.doctorofcredit.com/or-id-northern-ca-rogue-credit-union-500-checking-bonus-direct-deposit-not-required/","2026-09-23","Hard/soft pull: Soft pull · ChexSystems: Unknown Explicit Unknown. Nearby soft-pull field is a credit-pull statement, not ChexSystems evidence. No determination of account-opening ChexSystems screening is supported.","","",""
"orion-financial-free-checking-150","Orion Financial","Free Checking","checking","false","15000","Open September 1-October 31 2026. Establish one qualifying direct deposit within 90 days of opening; all non-opening requirements due no later than 2027-01-29. Electronic paycheck/pension/government benefits from employer or government qualify. Micro-deposits do not qualify. No DD amount is stated. Bonus within 120 days of opening; account open and unrestricted at payout.","https://www.doctorofcredit.com/ar-ms-tn-only-orion-financial-150-checking-bonus/","https://orionfcu.com/150-bonus","2026-10-31","0","No monthly maintenance fee. Electronic statements $0; mailed statements/notices $2/month except members over 65 or under 18. Closure of Primary Account within six months costs $10. Avoid closure until both bonus payout and six-month anniversary; no fixed day count inferred. Fee schedule https://orionfcu.com/disclosures/fee-schedule revised 2025-08-08.","New members only; no deposit or loan product currently or within prior 90 days; no deposit account closed negative within three years. One opening bonus per person/account; ownership may limit eligibility. DoC lists AR/MS/TN but says out-of-state opening may work; exact checking geography unresolved. Homepage AR/MS/TN restriction belongs to credit-card terms and cannot certify checking eligibility.","2026-09-14","","account_opening","","","First-party https://orionfcu.com/150-bonus and https://orionfcu.com/personal-banking/checking checked 2026-09-14. No balance minimum/hold stated. Free Checking APY not numerically stated; never substitute Premium APY. MODEL ONLY: each DD reserved at 0% for seven days; modeled withdrawal seven days after actual DD is not a contractual funds-availability promise or permission to close. Supplementary 4.00% simple comparison: net dollars = 150 - DD_amount * 0.04 * 7/365 before fees. Unknown DD amount means exact ROI unavailable. Illustrative $1000 DD/no fees only: $0.77 opportunity cost; $149.23 net; 778.14% annualized net ROI using unrounded capital-days arithmetic. Conditional low-effort ROI only. Gaps: DD amount; Free Checking numeric APY; exact geography; applicant-specific fees and safe closure date. Bank payout deadline and six calendar months are not capital holds.","","online","","unknown","","DoC AR/MS/TN; checking applicant eligibility unverified. Do not infer from credit-card geography.","","unknown","","","","","","","no","https://www.doctorofcredit.com/ar-ms-tn-only-orion-financial-150-checking-bonus/#comment-2415289","2026-09-24","Chex was frozen, and I just checked and there was no pull attempt. DoC reader datapoints (article field unknown or absent), 2026-09-17. DoC article (Sep 2026) lists ChexSystems: Unknown; many Sep 2026 commenters report approval with Chex frozen and no Chex pull attempt, none report a pull. Secondary reported screening, not a bank guarantee.","Campaign deliberately gives no DD amount. General account disclosure says no opening minimum unless additional disclosures and separately requires a primary share without establishing its amount; do not infer numeric capital.","https://orionfcu.com/150-bonus","2026-09-22"
"wells-fargo-everyday-500","Wells Fargo","Everyday Checking","checking","false","50000","Open through the offer with its bonus code by the expiration date. Receive at least $1,000 in qualifying electronic deposits within 90 days. Account must remain open for payout (within 30 days of meeting requirements). Ordinary transfers and Zelle do not qualify.","https://accountoffers.wellsfargo.com/offerbonus/","https://accountoffers.wellsfargo.com/offerbonus/","2026-10-06","1500","Waiver options include $500 in qualifying electronic deposits per fee period or a $1,500 minimum daily balance; verify current bank terms.","New consumer checking customers only; no Wells Fargo consumer checking bonus in past 12 months. Nationwide. Source has an older $400 sentence; current headline and quoted bonus terms say $500.","2026-09-09","0","account_opening","https://www.wellsfargo.com/checking/alt3/?utm_medium=www-redirect&utm_source=checking--alt3","2026-09-09","Verified $1,000 cumulative qualifying electronic deposits; no fixed deposit count/per-deposit minimum. Model uses promotional DD capital at 0% for seven days each, not bank-imposed hold. Separate $25 opening funding and residual balance to avoid closure may be needed; whether initial qualifying DD can cover opening funding is not established. Keep open through payout. Gross promotional ROI excludes ancillary opening funds/fees.","2500","online","","nationwide","","","","","","","","","","","unknown","","","","","",""
"chase-total-checking-300","Chase","Total Checking (checking-only tier)","checking","false","30000","Open through the checking/savings offer and receive a qualifying payroll, pension or government-benefit direct deposit within 90 days of coupon enrollment. No minimum direct-deposit amount stated. This row is only the $300 checking component, not the combined $900 reward.","https://account.chase.com/consumer/banking/checkingandsavingsoffer","https://account.chase.com/consumer/banking/checkingandsavingsoffer","2026-10-14","1500","$500 qualifying electronic deposits per statement; or $1,500 beginning daily balance; or $5,000 average qualifying balances; or qualifying linked checking.","Not available to existing Chase checking customers; accounts closed within 90 days or with negative balance within 3 years excluded. One checking opening bonus every 2 years from coupon enrollment. Nationwide.","2026-09-09","","coupon_enrollment","","","Precise missing denominator: issuer states a qualifying payroll/pension/government direct deposit but no numeric minimum. Actual deposit amount needed; do not invent $1 from micro-deposit exclusion. Seven-day 0% DD model applies once actual amount is supplied.","","online","","nationwide","","","","unknown","","","","","","","no","https://www.doctorofcredit.com/targeted-chase-900-checking-savings-bonus/","2026-09-24","ChexSystems: Doesn’t pull DoC article ChexSystems field, 2026-09-05. Same field on the Chase $400 checking and $100-$200 savings posts; DoC's list shows 36 'doesn't pull' datapoints (Chase uses EWS). Secondary reported screening, not a bank guarantee.","Live browser reconciles stale extracted April expiry to the stored October campaign. Checking bonus DD dollar amount is unstated; exclude the $500 fee-waiver figure from bonus funding.","https://account.chase.com/consumer/banking/checkingandsavingsoffer","2026-09-22"
"chase-savings-200","Chase","Savings (savings-only tier)","savings","false","20000","Deposit $15,000 in new money directly into savings within 30 days of coupon enrollment and maintain at least $15,000 for 90 days from coupon enrollment. This is only the savings component, not the combined $900 reward.","https://account.chase.com/consumer/banking/checkingandsavingsoffer","https://account.chase.com/consumer/banking/checkingandsavingsoffer","2026-10-14","500","Waiver options include $300 minimum daily balance; verify current terms.","Not available to existing Chase savings customers; accounts closed within 90 days or with negative balance within 3 years excluded. One savings opening bonus every 2 years from coupon enrollment. Nationwide.","2026-09-09","0.01","coupon_enrollment","https://account.chase.com/consumer/banking/checkingandsavingsoffer","2026-06-26","Primary savings APY 0.01% all balances/states. Conservative latest-funding interpretation: day 30 through day 90 inclusive, withdrawal day 91, 61 modeled days; bank says 90 days from coupon enrollment, NOT 90 days after deposit. Keep account open/unrestricted through payout. Confirm bank cutoff interpretation before funding.","","online","","nationwide","","","","","","Keep account open and unrestricted through payout. Confirm bank cutoff interpretation before funding.","","","","","no","https://www.doctorofcredit.com/targeted-chase-900-checking-savings-bonus/","2026-09-24","ChexSystems: Doesn’t pull DoC article ChexSystems field, 2026-09-05. Same field on the Chase $400 checking and $100-$200 savings posts; DoC's list shows 36 'doesn't pull' datapoints (Chase uses EWS). Secondary reported screening, not a bank guarantee.","","",""
"chase-checking-savings-900","Chase","Total Checking + Savings (combined offer)","other","false","90000","Requires TWO accounts opened together: qualifying direct deposit into checking within 90 days, plus $15,000 new money into savings within 30 days and held for 90 days from enrollment. Total reward includes $300 checking + $200 savings + $400 combined reward; do not add the component bonuses again. Track both accounts and confirm each requirement manually.","https://account.chase.com/consumer/banking/checkingandsavingsoffer","https://account.chase.com/consumer/banking/checkingandsavingsoffer","2026-10-14","","Both accounts can charge monthly fees; confirm current fee and waiver terms.","Must qualify for BOTH checking and savings offers. Existing accounts excluded; 90-day closure and 2-year bonus enrollment restrictions apply. Nationwide.","2026-09-09","0.01","coupon_enrollment","https://account.chase.com/consumer/banking/checkingandsavingsoffer","2026-06-26","Mixed two-account model: known savings capital $15,000 at 0.01% APY; day-30 funding, conservative day-91 withdrawal (61 days). Additional checking direct-deposit amount has no issuer numeric minimum, so TOTAL cumulative capital and combined ROI remain unavailable, not $15,000 alone. DD leg modeled seven days at 0%; do not double-count component bonuses.","","online","","nationwide","","","","unknown","","","","","","","no","https://www.doctorofcredit.com/targeted-chase-900-checking-savings-bonus/","2026-09-24","ChexSystems: Doesn’t pull DoC article ChexSystems field, 2026-09-05. Same field on the Chase $400 checking and $100-$200 savings posts; DoC's list shows 36 'doesn't pull' datapoints (Chase uses EWS). Secondary reported screening, not a bank guarantee.","$15,000.00: Savings new money / retained savings balance, separate from checking DD. Live browser reconciles stale extracted April expiry to the stored October campaign. Checking bonus DD dollar amount is unstated; exclude the $500 fee-waiver figure from bonus funding. Separate savings $15,000 leg verified, but incomplete checking DD leg leaves combined total unknown.","https://account.chase.com/consumer/banking/checkingandsavingsoffer","2026-09-22"
"us-bank-smartly-450","U.S. Bank","Smartly Checking ($8,000 deposit tier)","checking","false","45000","Complete at least two qualifying payroll or government direct deposits totaling $8,000 within 90 days; enroll in online or mobile banking. Source includes old promo-code and lower-tier text: confirm the CURRENT offer code, opening deposit and complete terms on the bank page.","https://www.usbank.com/splash/checking/2026-all-market-checking-offer.html","https://www.usbank.com/splash/checking/2026-all-market-checking-offer.html","2026-09-08","1200","Waiver options include $1,500 monthly direct deposits or $1,500 average balance; other relationship/age waivers may apply.","No existing consumer checking, consumer checking in past 12 months, or consumer checking bonus in past 12 months. Branch-state footprint or existing relationship generally required; verify NY/FL and other out-of-footprint eligibility.","2026-09-09","0.001","account_opening","https://www.usbank.com/splash/checking/2026-all-market-checking-offer.html","2026-05-31","Exact campaign expired September 8, 2026; not currently open for enrollment. Two deposits totaling $8,000, no per-deposit minimum specified. At least $25 funding within 60 days; can be included in qualifying DD. Product APY 0.001% at this tier; requested DD model deliberately uses 0%, seven days per deposit.","2500","online","","unknown","","","","","","","","","","","unknown","","","","","",""
"psecu-checking-300","PSECU","New member checking","checking","false","30000","Establish qualifying new membership using 2026PROMO by December 31, 2026. Receive two recurring qualifying employer/government/pension direct deposits of at least $500 each into new savings or checking within 100 days of membership establishment. PSECU funds required $5 membership share. Bonus assessment after day 100, payout up to 45 days later; maintain membership/good standing.","https://go.psecu.com/promo","https://go.psecu.com/promo","2026-12-31","0","No monthly checking fee reported; membership costs may apply.","New members only; anyone ever paid PSECU new-member bonus excluded; membership closed within 12 months excluded. Verify membership eligibility and any association cost.","2026-09-09","0.1","membership_establishment","https://www.psecu.com/rates","2026-09-09","Current primary campaign replaces stale 300PROMO and digital-login conditions. Two $500 deposits = $1,000 cumulative user capital. Checking APY 0.10%, savings 0.25%; requested DD model uses 0% and seven days each. Membership route/association cost is applicant-specific and excluded from gross ROI.","0","online","","nationwide","","Membership: PSECU membership eligibility required; route and any association cost vary by applicant.","","","","","","","","","yes","https://www.doctorofcredit.com/pa-only-psecu-100-250-checking-bonus/","2026-09-24","ChexSystems: Yes DoC article ChexSystems field, 2026-01-01. DoC PSECU $300 checking bonus post (the teen checking post also says Yes). Secondary reported screening, not a bank guarantee.","","",""
