offer_id,step,type,start_day,due_day,due_date,hold_days,hold_until_day,hold_until_date,amount_cents,count,min_each_cents,note
wells-fargo-everyday-500,1,direct_deposit,,90,,,,,100000,,,"Qualifying electronic deposits totaling $1,000; no count or per-deposit minimum. Ordinary transfers and Zelle do not qualify."
chase-total-checking-300,1,direct_deposit,,90,,,,,,1,,"Qualifying payroll, pension or government-benefit direct deposit; no minimum amount stated. Checking component only of the combined offer."
chase-savings-200,1,balance,30,30,,,90,,1500000,,,"$15,000 new money directly into savings within 30 days of coupon enrollment; maintain at least $15,000 for 90 days from coupon enrollment (not 90 days after deposit)."
chase-checking-savings-900,1,balance,30,30,,,90,,1500000,,,"Savings leg: $15,000 new money into savings within 30 days of coupon enrollment; hold for 90 days from enrollment."
chase-checking-savings-900,2,direct_deposit,,90,,,,,,1,,"Checking leg: Qualifying payroll, pension or government-benefit direct deposit; no minimum amount stated."
us-bank-smartly-450,1,direct_deposit,,90,,,,,800000,2,,"At least two payroll or government direct deposits totaling $8,000; no per-deposit minimum. Fund at least $25 within 60 days to prevent closure (can be part of the DD)."
us-bank-smartly-450,2,other,,90,,,,,,,,Enroll in U.S. Bank online banking or the U.S. Bank Mobile App within 90 days of opening.
psecu-checking-300,1,direct_deposit,,100,,,,,100000,2,50000,"Two recurring qualifying payroll, Social Security or pension direct deposits of $500+ each into new PSECU savings or checking; transfers between personal accounts do not count."
capital-one-performance-savings-300,1,balance,16,15,,,105,,2000000,,,"External new money (source not affiliated with Capital One before 1/1/2025) within the first 15 days; hold for 90 days after the funding period, through 11:59 pm ET on the final hold day."
capital-one-performance-savings-750,1,balance,16,15,,,105,,5000000,,,"External new money (source not affiliated with Capital One before 1/1/2025) within the first 15 days; hold for 90 days after the funding period, through 11:59 pm ET on the final hold day."
capital-one-performance-savings-1500,1,balance,16,15,,,105,,10000000,,,"External new money (source not affiliated with Capital One before 1/1/2025) within the first 15 days; hold for 90 days after the funding period, through 11:59 pm ET on the final hold day."
bank-of-hawaii-savings-75,1,balance,31,30,,,90,,500000,,,"New money of $5,000 (external check, wire, ACH credit or online external transfer) within 30 days; $100 opening deposit counts. Maintain the qualifying daily balance from day 31 through day 90."
bank-of-hawaii-savings-150,1,balance,31,30,,,90,,1000000,,,"New money of $10,000 (external check, wire, ACH credit or online external transfer) within 30 days; $100 opening deposit counts. Maintain the qualifying daily balance from day 31 through day 90."
bank-of-hawaii-savings-300,1,balance,31,30,,,90,,2000000,,,"New money of $20,000 (external check, wire, ACH credit or online external transfer) within 30 days; $100 opening deposit counts. Maintain the qualifying daily balance from day 31 through day 90."
wells-fargo-initiate-business-400,1,balance,30,30,,,60,,250000,,,"Deposit $2,500 by day 30 and maintain it through day 60; the $25 minimum opening deposit counts toward the balance."
wells-fargo-initiate-business-400,2,transactions,,60,,,,,,5,,"Five qualifying posted transactions: debit card purchases, Bill Pay or qualifying deposits."
wells-fargo-initiate-business-550,1,balance,30,30,,,60,,1000000,,,"Deposit $10,000 by day 30 and maintain it through day 60; the $25 minimum opening deposit counts toward the balance."
wells-fargo-initiate-business-550,2,transactions,,60,,,,,,5,,"Five qualifying posted transactions: debit card purchases, Bill Pay or qualifying deposits."
wells-fargo-initiate-business-825,1,balance,30,30,,,60,,2500000,,,"Deposit $25,000 by day 30 and maintain it through day 60; the $25 minimum opening deposit counts toward the balance."
wells-fargo-initiate-business-825,2,transactions,,60,,,,,,5,,"Five qualifying posted transactions: debit card purchases, Bill Pay or qualifying deposits."
bank-of-america-business-400,1,balance,31,30,,,90,,500000,,,"Deposit $5,000 new money within 30 days; maintain the qualifying balance from day 31 through day 90. No direct deposit required."
bank-of-america-business-750,1,balance,31,30,,,90,,1500000,,,"Deposit $15,000 new money within 30 days; maintain the qualifying balance from day 31 through day 90. No direct deposit required."
bank-of-america-business-1000,1,balance,31,30,,,90,,5000000,,,"Deposit $50,000 new money within 30 days; maintain the qualifying balance from day 31 through day 90. No direct deposit required."
bank-of-america-business-1500,1,balance,31,30,,,90,,10000000,,,"Deposit $100,000 new money within 30 days; maintain the qualifying balance from day 31 through day 90. No direct deposit required."
bank-of-america-business-2500,1,balance,31,30,,,90,,25000000,,,"Deposit $250,000 new money within 30 days; maintain the qualifying balance from day 31 through day 90. No direct deposit required."
trustone-checking-250,1,direct_deposit,,60,,,,,100000,,,"Direct deposits totaling $1,000 within 60 days of opening; no count or per-deposit minimum stated."
